sample,extension,experiment
110,,P6808
111,,P6808
112,,P6808
113,,P6808
114,,P6808
118,,P6808
119,,P6808
120,,P6808
121,,P6808
134,,P6808
135,,P6808
136,,P6808
137,,P6808
138,,P6808
142,,P6808
143,,P6808
144,,P6808
145,,P6808
bulk,,P3861
