sample,extension,experiment
F1,,Tree1
F2,,Tree1
F4,,Tree1
F5,,Tree1
F6,,Tree1
F22,,Tree2
F24,,Tree2
F27,,Tree2
F30,,Tree2
F33,,Tree2
F34,,Tree2
F36,,Tree2
F38,,Tree2
F39,,Tree2
F40,,Tree2
F41,,Tree2
FibBulk,,Tree2






